document_id,term,frequency
3,abdomen,1
6,abdomen,2
7,abdomen,1
8,abdomen,3
1,abdominal,1
3,abdominal,1
6,abdominal,1
7,abdominal,1
8,abdominal,1
10,aborto,3
7,absorcion,3
10,abundante,3
7,acido,2
1,acudir,1
5,acudir,1
10,acudir,2
1,acumulacion,1
6,acumulacion,1
8,acumulacion,1
5,acumular,1
8,acumular,3
9,acumular,1
10,acuoso,2
2,adema,1
5,adema,2
8,adema,2
5,adicional,1
10,adicional,1
7,afectado,1
8,afectado,1
9,afectado,1
7,aflatoxinar,4
7,africano,2
8,agrandamiento,1
9,agrandamiento,1
3,agrandar,1
4,agrandar,5
5,agrandar,2
8,agrandar,1
9,agrandar,1
10,agrandar,3
1,agua,1
5,agua,1
9,agudo,9
1,ahora,1
5,ahora,1
10,ahora,2
4,aire,2
3,alcohol,4
7,alcohol,3
1,alguno,1
5,alguno,3
3,alimentacion,3
5,alimentacion,3
3,alimento,1
5,alimento,3
7,alimento,1
8,alimento,1
1,almacenar,1
7,almacenar,1
1,alrededor,1
3,alrededor,1
4,alrededor,2
7,alrededor,1
7,alteracion,2
1,amarillentar,1
6,amarillentar,1
8,amarillentar,2
8,amarillo,2
10,ambos,2
1,americar,3
6,americar,1
8,americar,1
1,amplio,1
4,amplio,1
3,analizar,1
10,analizar,1
5,androgeno,2
3,anemia,5
5,animal,1
7,animal,1
5,animo,1
8,animo,1
5,anomaliar,3
10,anomaliar,1
5,anomalo,1
10,anomalo,1
5,anormal,1
7,anormal,1
9,anormal,3
3,antecedente,3
4,antecedente,4
5,antecedente,4
5,antigeno_prostatico,6
10,aparato,3
1,aparicion,1
5,aparicion,1
4,apariencia,1
7,apariencia,1
1,apetito,2
6,apetito,1
8,apetito,3
4,aplicar,1
5,aplicar,1
7,apoptosis,4
1,apoyo,1
5,apoyo,1
10,apoyo,2
7,arn,3
1,arterial,2
1,asi,4
7,asi,1
8,asi,1
9,asi,1
7,asiatico,2
7,asintomaticir,2
7,asociacion,2
5,asociado,1
7,asociado,3
3,aspirinar,3
1,atacar,3
1,aumento,1
4,aumento,1
7,aumento,2
10,aumento,1
5,avance,2
6,avance,1
10,avanza,2
3,avanzado,1
5,avanzado,7
7,avanzado,2
10,avanzado,1
5,avanzar,2
5,ayudarte,2
10,ayudarte,1
1,azucar,1
8,azucar,2
5,bajar,2
6,bajar,1
1,bajo,1
3,bajo,2
6,bajo,1
7,bajo,2
8,bajo,1
10,bajo,1
4,basal,7
5,basico,1
7,basico,1
4,basocelular,8
6,bastante,1
8,bastante,1
9,bazo,2
3,beber,2
3,bebido,2
5,beneficioso,2
3,benigno,1
7,benigno,1
1,bien,1
4,bien,1
5,bien,3
7,bien,1
9,bien,1
10,bien,4
7,biliar,7
8,biliar,7
8,bilirrubin,6
7,bilis,2
8,bilis,4
7,biologia,2
7,biopsia,5
10,biopsia,2
4,blanco,4
7,blanco,1
9,blanco,6
8,bloquea,2
5,bloquear,1
10,bloquear,1
2,borde,1
4,borde,2
8,borde,1
1,brazo,4
4,brazo,3
5,brazo,1
7,brazo,1
4,bronceadorar,7
4,buen,1
5,buen,1
2,bulto,8
4,bulto,3
5,bulto,1
8,bulto,1
2,bulto_mama,8
4,cabelludo,2
1,cabeza,3
8,cabeza,1
4,cada,1
5,cada,2
