term,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10
abdomen,0,0,1,0,0,2,1,3,0,0
abdominal,1,0,1,0,0,1,1,1,0,0
aborto,0,0,0,0,0,0,0,0,0,3
absorcion,0,0,0,0,0,0,3,0,0,0
abundante,0,0,0,0,0,0,0,0,0,3
acido,0,0,0,0,0,0,2,0,0,0
acudir,1,0,0,0,1,0,0,0,0,2
acumulacion,1,0,0,0,0,1,0,1,0,0
acumular,0,0,0,0,1,0,0,3,1,0
acuoso,0,0,0,0,0,0,0,0,0,2
adema,0,1,0,0,2,0,0,2,0,0
adicional,0,0,0,0,1,0,0,0,0,1
afectado,0,0,0,0,0,0,1,1,1,0
aflatoxinar,0,0,0,0,0,0,4,0,0,0
africano,0,0,0,0,0,0,2,0,0,0
agrandamiento,0,0,0,0,0,0,0,1,1,0
agrandar,0,0,1,5,2,0,0,1,1,3
agua,1,0,0,0,1,0,0,0,0,0
agudo,0,0,0,0,0,0,0,0,9,0
ahora,1,0,0,0,1,0,0,0,0,2
aire,0,0,0,2,0,0,0,0,0,0
alcohol,0,0,4,0,0,0,3,0,0,0
alguno,1,0,0,0,3,0,0,0,0,0
alimentacion,0,0,3,0,3,0,0,0,0,0
alimento,0,0,1,0,3,0,1,1,0,0
almacenar,1,0,0,0,0,0,1,0,0,0
alrededor,1,0,1,2,0,0,1,0,0,0
alteracion,0,0,0,0,0,0,2,0,0,0
amarillentar,1,0,0,0,0,1,0,2,0,0
amarillo,0,0,0,0,0,0,0,2,0,0
ambos,0,0,0,0,0,0,0,0,0,2
americar,3,0,0,0,0,1,0,1,0,0
amplio,1,0,0,1,0,0,0,0,0,0
analizar,0,0,1,0,0,0,0,0,0,1
androgeno,0,0,0,0,2,0,0,0,0,0
anemia,0,0,5,0,0,0,0,0,0,0
animal,0,0,0,0,1,0,1,0,0,0
animo,0,0,0,0,1,0,0,1,0,0
anomaliar,0,0,0,0,3,0,0,0,0,1
anomalo,0,0,0,0,1,0,0,0,0,1
anormal,0,0,0,0,1,0,1,0,3,0
antecedente,0,0,3,4,4,0,0,0,0,0
antigeno_prostatico,0,0,0,0,6,0,0,0,0,0
aparato,0,0,0,0,0,0,0,0,0,3
aparicion,1,0,0,0,1,0,0,0,0,0
apariencia,0,0,0,1,0,0,1,0,0,0
apetito,2,0,0,0,0,1,0,3,0,0
aplicar,0,0,0,1,1,0,0,0,0,0
apoptosis,0,0,0,0,0,0,4,0,0,0
apoyo,1,0,0,0,1,0,0,0,0,2
arn,0,0,0,0,0,0,3,0,0,0
arterial,2,0,0,0,0,0,0,0,0,0
asi,4,0,0,0,0,0,1,1,1,0
asiatico,0,0,0,0,0,0,2,0,0,0
asintomaticir,0,0,0,0,0,0,2,0,0,0
asociacion,0,0,0,0,0,0,2,0,0,0
asociado,0,0,0,0,1,0,3,0,0,0
aspirinar,0,0,3,0,0,0,0,0,0,0
atacar,3,0,0,0,0,0,0,0,0,0
aumento,1,0,0,1,0,0,2,0,0,1
avance,0,0,0,0,2,1,0,0,0,0
avanza,0,0,0,0,0,0,0,0,0,2
avanzado,0,0,1,0,7,0,2,0,0,1
avanzar,0,0,0,0,2,0,0,0,0,0
ayudarte,0,0,0,0,2,0,0,0,0,1
azucar,1,0,0,0,0,0,0,2,0,0
bajar,0,0,0,0,2,1,0,0,0,0
bajo,1,0,2,0,0,1,2,1,0,1
basal,0,0,0,7,0,0,0,0,0,0
basico,0,0,0,0,1,0,1,0,0,0
basocelular,0,0,0,8,0,0,0,0,0,0
bastante,0,0,0,0,0,1,0,1,0,0
bazo,0,0,0,0,0,0,0,0,2,0
beber,0,0,2,0,0,0,0,0,0,0
bebido,0,0,2,0,0,0,0,0,0,0
beneficioso,0,0,0,0,2,0,0,0,0,0
benigno,0,0,1,0,0,0,1,0,0,0
bien,1,0,0,1,3,0,1,0,1,4
biliar,0,0,0,0,0,0,7,7,0,0
bilirrubin,0,0,0,0,0,0,0,6,0,0
bilis,0,0,0,0,0,0,2,4,0,0
biologia,0,0,0,0,0,0,2,0,0,0
biopsia,0,0,0,0,0,0,5,0,0,2
blanco,0,0,0,4,0,0,1,0,6,0
bloquea,0,0,0,0,0,0,0,2,0,0
bloquear,0,0,0,0,1,0,0,0,0,1
borde,0,1,0,2,0,0,0,1,0,0
brazo,4,0,0,3,1,0,1,0,0,0
bronceadorar,0,0,0,7,0,0,0,0,0,0
buen,0,0,0,1,1,0,0,0,0,0
bulto,0,8,0,3,1,0,0,1,0,0
bulto_mama,0,8,0,0,0,0,0,0,0,0
cabelludo,0,0,0,2,0,0,0,0,0,0
cabeza,3,0,0,0,0,0,0,1,0,0
cada,0,0,0,1,2,0,3,0,0,3
