term_id,name
1,abdomen
2,abdominal
3,aborto
4,absorcion
5,abundante
6,acido
7,acudir
8,acumulacion
9,acumular
10,acuoso
11,adema
12,adicional
13,afectado
14,aflatoxinar
15,africano
16,agrandamiento
17,agrandar
18,agua
19,agudo
20,ahora
21,aire
22,alcohol
23,alguno
24,alimentacion
25,alimento
26,almacenar
27,alrededor
28,alteracion
29,amarillentar
30,amarillo
31,ambos
32,americar
33,amplio
34,analizar
35,androgeno
36,anemia
37,animal
38,animo
39,anomaliar
40,anomalo
41,anormal
42,antecedente
43,antigeno_prostatico
44,aparato
45,aparicion
46,apariencia
47,apetito
48,aplicar
49,apoptosis
50,apoyo
51,arn
52,arterial
53,asi
54,asiatico
55,asintomaticir
56,asociacion
57,asociado
58,aspirinar
59,atacar
60,aumento
61,avance
62,avanza
63,avanzado
64,avanzar
65,ayudarte
66,azucar
67,bajar
68,bajo
69,basal
70,basico
71,basocelular
72,bastante
73,bazo
74,beber
75,bebido
76,beneficioso
77,benigno
78,bien
79,biliar
80,bilirrubin
81,bilis
82,biologia
83,biopsia
84,blanco
85,bloquea
86,bloquear
87,borde
88,brazo
89,bronceadorar
90,buen
91,bulto
92,bulto_mama
93,cabelludo
94,cabeza
95,cada
96,cadena
97,cafar
98,calambre
99,calcio
100,calor
101,calorio
102,cama
103,cambiar
104,cambio_evacuacion
105,cambio_lunar
106,cambio_piel
107,campo
108,canal
109,cansancio
110,cantidad
111,capa
112,capaz
113,cara
114,carcinoma
115,carcinomar
116,carne
117,casi
118,causado
119,cava
120,cell
121,cerca
122,cercano
123,cereal
124,cerebelo
125,cerebro
126,cerrar
127,ciclo
128,cierto
129,cirrosis
130,cirugia
131,cirugio
132,cita
133,claro
134,clasificacion
135,clave
136,coagulo
137,cola
138,colangiocarcinoma
139,coledoco
140,colesterol
141,colon
142,color
143,coloracion
144,colorrectal
145,colposcopia
146,columna
147,comar
148,combinar
149,comer
150,comienzo
151,compania
152,comparacion
153,completamente
154,complicacion
155,comprender
156,compuesto
157,conducto
158,confusion
159,conocer
160,conocido
161,consanguineo
162,consecuencia
163,conseguir
164,considerar
165,contar
166,contraer
167,contribuir
168,controlar
169,convertir
170,convulsion
171,corporal
172,correr
173,cosa
174,costilla
175,crecer
176,crecimiento
177,creer
178,cromosomar
179,cronico
180,cuanto
181,cuatro
182,cuello
183,cuello_uterino
184,cuero
185,curar
186,cushing
187,cutaneo
188,debajo
189,debido
190,debilitado
191,decision
192,dejar
193,delgado
194,demasiado
195,demostrado
196,denominado
197,denominar
198,dentro
199,derecho
200,derivar
201,desafortunadamente
202,desaparecer
203,desarrollado
204,desarrollar
205,descargar
206,descomponer
207,descripcion
208,descubrir
209,desear
210,despacio
211,destruir
212,detecto
213,determinacion
214,determinado
215,determinar
216,diabet
217,diabetes
218,diagnosticar
219,diar
220,diario
221,diarrea
222,dietilestilbestrol
223,diferenciacion
224,diferenciar
225,diferente
226,dificil
227,dificultad
228,dificultad_orinar
