document_id,term_id,term,frequency
1,2,abdominal,1
1,3,abeloff,1
1,4,ablacion,1
1,13,acabar,1
1,14,acceso,1
1,15,accessed,1
1,17,acerca,2
1,20,acth,1
1,24,actua,1
1,26,actualizacion,1
1,29,acudir,1
1,32,acumulacion,1
1,34,acumule,1
1,43,adh,1
1,47,adormecimiento,1
1,49,adrenocorticotropico,1
1,53,afeccion,2
1,55,afectar,5
1,73,agua,1
1,76,ahora,1
1,85,alguno,1
1,86,aliento,1
1,96,almacenar,1
1,97,alrededor,1
1,100,alto,2
1,101,amarillentar,1
1,107,americar,3
1,113,ampliar,1
1,114,amplio,1
1,140,anticuerpo,1
1,141,antidiureticar,1
1,142,antidiuretico,1
1,146,aparecer,3
1,147,aparicion,1
1,149,apetito,2
1,153,apoyo,1
1,158,araujo,1
1,162,armitage,1
1,165,arterial,2
1,168,asi,4
1,176,asocian,1
1,181,atacar,3
1,183,ataque,1
1,185,aumentar,1
1,186,aumento,1
1,187,aun,2
1,188,aunque,2
1,191,autor,1
1,202,ayudeno,1
1,204,azucar,1
1,205,azulado,1
1,207,bajo,1
1,224,bien,1
1,243,brazo,4
1,246,brindar,1
1,250,bronquitis,1
1,255,cabeza,3
1,259,cadera,1
1,261,caido,1
1,263,calambre,1
1,264,calcio,2
1,271,cambio,5
1,272,caminar,1
1,273,campo,1
1,277,canceroso,3
1,279,cansancio,2
1,283,cara,3
1,285,carbonir,1
1,288,cardiaco,1
1,293,caso,2
1,295,causa,9
1,296,causado,2
1,298,causar,12
1,299,causas,1
1,301,cava,4
1,302,cell,6
1,305,celula,21
1,309,centro,1
1,311,cerca,1
1,314,cerebelo,1
1,315,cerebelos,1
1,316,cerebro,5
1,320,certificacion,1
1,322,chapter,2
1,324,chiang,1
1,327,cierto,1
1,335,cirugio,2
1,344,clave,1
1,345,clavicular,1
1,347,clinical,1
1,364,color,2
1,365,coloracion,1
1,382,comienzo,2
1,391,comportamiento,1
1,394,compuesto,1
1,396,comun,3
1,397,comunicar,1
1,400,conciencio,1
1,407,confianza,1
1,410,confusion,2
1,415,conocer,1
1,417,conocimiento,1
1,427,consulte,1
1,435,continuar,1
1,444,controlar,1
1,449,convulsion,3
1,450,corazon,1
1,454,cortisol,1
1,455,cosa,1
1,463,creer,1
1,467,criticar,1
1,473,cualquiera,3
1,480,cuello,2
1,482,cuerpo,2
1,483,cuestionario,1
1,484,cuidado,1
1,493,cushing,4
1,498,dane,1
1,500,dar,2
1,502,data,1
1,506,debido,2
1,507,debil,1
1,508,debilidad,7
1,515,decker,1
1,521,degeneracion,1
1,528,demasiado,1
1,534,denominar,1
1,535,dentro,1
1,540,derecho,2
1,544,desaparecer,2
1,552,descargar,1
1,557,descubrir,1
1,566,despu,2
1,567,despues,1
1,569,deteccion,2
1,572,determinacion,2
1,574,determinar,2
1,576,detterbeck,1
1,578,devito,4
1,580,diabet,1
1,583,diagnosticar,1
1,585,diagnostico,2
1,599,dificultad,4
1,608,dirigido,1
1,615,disenado,1
1,620,distante,2
1,621,distinto,3
1,626,dolor,7
1,629,donant,1
1,630,donar,1
1,631,donir,2
1,633,doroshow,1
1,642,eaton,1
1,644,ectopico,1
1,647,editor,1
1,648,editorial,1
1,649,eds,3
1,650,efectivo,1
1,654,ejemplo,2
1,660,elsevier,1
1,668,emocion,1
1,669,empeora,2
1,676,encargado,1
1,678,encefaliti,1
1,679,encima,1
1,685,endocrino,3
1,688,enfermedad,3
1,689,enfermerio,1
1,695,entrar,1
1,710,equilibrio,2
1,711,equipo,2
1,714,error,2
1,718,escrito,1
1,721,espalda,1
1,727,especifico,1
1,731,espinal,1
1,733,esputo,1
1,736,estadistica,1
1,746,estrenimiento,1
1,751,etapa,6
1,753,etapas,2
1,780,existir,1
1,783,experiencia,1
1,793,extender,1
1,805,facil,1
1,807,factor,3
1,810,falta,1
1,812,familia,1
1,816,fatigar,1
1,819,febrero,1
1,834,flema,1
1,847,frecuencia,3
1,867,ganglio,2
1,878,generoso,1
1,885,glandula,1
1,893,gracias,1
1,895,gradualmente,1
1,897,grande,1
1,902,grave,1
1,907,grupo,3
1,917,hablar,2
1,920,hacer,5
1,926,hann,1
1,931,health,1
1,934,hellmar,2
1,935,hematoma,1
1,956,higado,1
1,958,hinchazon,2
1,959,hipercalcemia,2
1,961,hipertension,1
1,965,hombro,2
1,970,hormona,6
1,971,hormonar,2
1,972,horn,1
1,973,horner,2
1,977,https,1
1,978,hueso,2
1,981,humor,1
1,984,ictericio,1
1,995,importante,2
1,1000,inadecuado,1
1,1004,incluido,1
1,1005,incluir,1
1,1007,incluso,1
1,1017,indiz,1
1,1022,inestabilidad,1
1,1023,inexplicable,1
1,1025,infeccion,1
1,1037,informe,2
1,1040,ingl,3
1,1049,inmediato,3
1,1050,inmunitario,5
1,1051,inmunoterapia,1
1,1052,inmunoterapio,1
1,1054,institutir,1
1,1060,intenso,1
1,1073,investigacion,1
1,1084,jan,1
1,1089,kastan,1
1,1091,labor,1
1,1094,lado,2
1,1095,lambert,1
1,1099,lawrence,2
1,1111,levantarel,1
1,1117,limbico,3
1,1121,linfatico,2
1,1128,lippincott,2
1,1129,liquido,1
1,1133,llamado,3
1,1134,llamar,2
1,1137,llevar,2
1,1141,luego,1
1,1142,lugar,3
1,1144,lung,8
1,1169,mareo,3
1,1179,mayor,2
1,1180,mayoria,1
1,1182,mayorio,1
1,1185,medicamento,1
1,1186,medico,9
1,1193,medular,1
1,1195,mejorar,1
1,1202,memoria,2
1,1209,menudo,1
1,1210,merritt,1
1,1221,microcitico,25
1,1234,mismo,2
1,1247,moreton,1
1,1249,mortal,1
1,1251,mostrar,1
1,1256,movimiento,1
1,1269,muscular,2
1,1270,musculo,2
1,1277,national,1
1,1279,nausea,2
1,1280,navigation,1
1,1282,necesario,2
1,1283,necesidad,1
1,1289,nervio,3
1,1290,nerviosismo,1
1,1291,nervioso,3
1,1292,neumonia,1
1,1293,neuroendocrine,1
1,1294,neurologico,2
1,1295,neuromuscular,1
1,1296,niederhuber,1
1,1298,ninguno,1
1,1300,nivel,4
1,1303,nodulo,1
1,1305,non,2
1,1312,notar,1
1,1315,novedad,1
1,1316,nsclc,1
1,1338,ocultar,1
1,1340,ojo,3
1,1345,oncologiar,1
1,1346,oncology,3
1,1348,opcion,2
1,1357,organo,3
1,1365,orinar,1
1,1366,oscuro,1
1,1375,oxido,1
1,1383,paliativo,2
1,1387,pancoast,3
1,1398,paraneoplasico,10
1,1399,paratiroidea,1
1,1402,parecido,1
1,1407,parpado,1
1,1408,parte,9
1,1412,pasar,1
1,1423,pdf,1
1,1424,pdq,2
1,1426,pecho,3
1,1428,peligro,1
1,1434,peptido,1
1,1436,pequena,17
1,1437,pequenar,1
1,1442,perdido,5
1,1448,persona,3
1,1449,personal,1
1,1450,personalidad,1
1,1452,peso,2
1,1456,philadelphia,3
1,1457,physician,1
1,1461,piel,2
1,1462,pierna,1
1,1463,piernar,1
1,1474,poder,37
1,1480,podrio,1
1,1484,politico,1
1,1485,poner,1
1,1489,posible,2
1,1493,potencialmente,1
1,1495,practicar,2
1,1501,pregunta,1
1,1517,presion,2
1,1519,prevencion,2
1,1520,prevenir,1
1,1523,primero,4
1,1527,principl,2
1,1529,probabilidad,2
1,1530,probable,2
1,1533,problema,7
1,1535,procedimiento,2
1,1541,producir,5
1,1546,professional,1
1,1547,profundo,1
1,1558,propagacion,1
1,1559,propagado,4
1,1560,propagar,1
1,1577,protegido,1
1,1586,provocar,4
1,1589,prueba,1
1,1590,pthrp,1
1,1592,pulmon,67
1,1593,pulmonar,2
1,1595,pupila,1
1,1600,query,1
1,1606,quimioterapio,2
1,1614,radiofrecuencia,1
1,1615,radioterapia,1
1,1618,radioterapio,1
1,1628,razon,1
1,1633,recibir,1
1,1634,reciente,1
1,1646,recurso,1
1,1649,referencia,1
1,1656,reimpresion,1
1,1657,rekhtmar,1
1,1659,relacionado,1
1,1676,requerir,1
1,1684,respiracion,1
1,1685,respirar,2
1,1691,retencion,1
1,1692,retener,1
1,1698,rfa,1
1,1699,riesgo,3
1,1700,rinon,2
1,1701,risa,1
1,1705,rojo,1
1,1707,ronquera,1
1,1711,rosenberg,2
1,1712,rosenbergs,2
1,1713,rostro,1
1,1715,rudin,1
1,1720,sal,1
1,1721,salivo,1
1,1722,saltar,1
1,1728,sangre,8
1,1730,sanguineo,1
1,1733,sclc,2
1,1734,secrecion,1
1,1738,sed,1
1,1741,seguir,1
1,1742,segun,2
1,1743,segundo,1
1,1758,sentado,1
