document_id_1,document_id_2,cosine_similarity_lsi
1,7,0.993625
7,9,0.99014
6,8,0.989186
1,9,0.977899
6,9,0.973549
3,6,0.967279
8,9,0.967092
7,8,0.956611
6,7,0.944947
1,10,0.934284
2,8,0.92698
3,8,0.924368
1,8,0.917921
1,6,0.908256
3,9,0.907393
2,6,0.907197
7,10,0.896915
2,3,0.87871
3,7,0.844856
9,10,0.839093
2,4,0.824262
2,9,0.805081
1,3,0.799875
2,7,0.779846
8,10,0.739441
1,2,0.704308
6,10,0.703119
3,5,0.688648
4,8,0.565862
3,10,0.533769
4,6,0.509596
5,6,0.495604
3,4,0.492894
2,10,0.460214
5,9,0.421122
5,8,0.365211
2,5,0.33899
4,9,0.337658
4,7,0.325882
5,7,0.292704
1,5,0.270895
1,4,0.22113
4,5,0.018256
4,10,0.000582
5,10,-0.014085
