component,term,weight
1,abdomen,0.007373
1,abdominal,0.005374
1,aborto,0.006454
1,absorcion,0.003057
1,abundante,0.006454
1,acido,0.002038
1,acudir,0.010504
1,acumulacion,0.003553
1,acumular,0.010116
1,acuoso,0.004303
1,adema,0.012889
1,adicional,0.006731
1,afectado,0.003175
1,aflatoxinar,0.004076
1,africano,0.002038
1,agrandamiento,0.002156
1,agrandar,0.050294
1,agua,0.006201
1,agudo,0.004197
1,ahora,0.010504
1,aire,0.012689
1,alcohol,0.006265
1,alguno,0.01536
1,alimentacion,0.016144
1,alimento,0.01725
1,almacenar,0.002641
1,alrededor,0.016131
1,alteracion,0.002038
1,amarillentar,0.005243
1,amarillo,0.00338
1,ambos,0.004303
1,americar,0.006796
1,amplio,0.007966
1,analizar,0.002953
1,androgeno,0.009159
1,anemia,0.004009
1,animal,0.005599
1,animo,0.00627
1,anomaliar,0.01589
1,anomalo,0.006731
1,anormal,0.006998
1,antecedente,0.046102
1,antigeno_prostatico,0.027478
1,aparato,0.006454
1,aparicion,0.006201
1,apariencia,0.007363
1,apetito,0.008554
1,aplicar,0.010924
1,apoptosis,0.004076
1,apoyo,0.010504
1,arn,0.003057
1,arterial,0.003243
1,asi,0.009661
1,asiatico,0.002038
1,asintomaticir,0.002038
1,asociacion,0.002038
1,asociado,0.007637
1,aspirinar,0.002406
1,atacar,0.004865
1,aumento,0.012155
1,avance,0.0094
1,avanza,0.004303
1,avanzado,0.037049
1,avanzar,0.009159
1,ayudarte,0.011311
1,azucar,0.005002
1,bajar,0.0094
1,bajo,0.009346
1,basal,0.044411
1,basico,0.005599
1,basocelular,0.050755
1,bastante,0.001931
1,bazo,0.000933
1,beber,0.001604
1,bebido,0.001604
1,beneficioso,0.009159
1,benigno,0.001821
1,bien,0.031796
1,biliar,0.018963
1,bilirrubin,0.01014
1,bilis,0.008798
1,biologia,0.002038
1,biopsia,0.009398
1,blanco,0.029194
1,bloquea,0.00338
1,bloquear,0.006731
1,borde,0.014729
1,brazo,0.031118
1,bronceadorar,0.044411
1,buen,0.010924
1,bulto,0.028102
1,bulto_mama,0.0028
1,cabelludo,0.012689
1,cabeza,0.006555
1,cada,0.025015
1,cadena,0.005095
1,cafar,0.005311
1,calambre,0.002423
1,calcio,0.003243
1,calor,0.00627
1,calorio,0.006183
1,cama,0.044411
1,cambiar,0.008496
1,cambio_evacuacion,0.005613
1,cambio_lunar,0.057099
1,cambio_piel,0.0021
1,campo,0.003773
1,canal,0.002618
1,cansancio,0.050198
1,cantidad,0.02121
1,capa,0.008496
1,capaz,0.002038
1,cara,0.017553
1,carcinoma,0.129941
1,carcinomar,0.008382
1,carne,0.001604
1,casi,0.007108
1,causado,0.003243
1,cava,0.006486
1,cell,0.009729
1,cerca,0.004331
1,cercano,0.009329
1,cereal,0.005381
