component,term,weight,abs_weight,rank
1,piel,0.64494,0.64494,1
1,prostata,0.467122,0.467122,2
1,sol,0.228398,0.228398,3
1,pancreas,0.144668,0.144668,4
1,utero,0.139841,0.139841,5
1,pulmon,0.13419,0.13419,6
1,carcinoma,0.129941,0.129941,7
1,cuello,0.127914,0.127914,8
1,orina,0.104554,0.104554,9
1,luz,0.097317,0.097317,10
1,masa,0.086858,0.086858,11
1,perdida_peso,0.079485,0.079485,12
1,lunar,0.076133,0.076133,13
1,sangrado,0.065688,0.065688,14
1,dolor,0.065571,0.065571,15
1,higado,0.063395,0.063395,16
1,virus,0.06137,0.06137,17
1,colon,0.058536,0.058536,18
1,color,0.057289,0.057289,19
1,cambio_lunar,0.057099,0.057099,20
2,prostata,0.743652,0.743652,1
2,piel,-0.506716,0.506716,2
2,sol,-0.193772,0.193772,3
2,orina,0.153132,0.153132,4
2,carcinoma,-0.101756,0.101756,5
2,luz,-0.080712,0.080712,6
2,saludable,0.066671,0.066671,7
2,lunar,-0.064591,0.064591,8
2,perdida_peso,0.063335,0.063335,9
2,glandulo,0.058626,0.058626,10
2,dificultad_orinar,0.058326,0.058326,11
2,avanzado,0.051509,0.051509,12
2,sangre_orina,0.051035,0.051035,13
2,miccion_frecuente,0.051035,0.051035,14
2,melanomo,-0.048443,0.048443,15
2,cambio_lunar,-0.048443,0.048443,16
2,disemin,0.045916,0.045916,17
2,semar,0.043744,0.043744,18
2,antigeno_prostatico,0.043744,0.043744,19
2,basocelular,-0.043061,0.043061,20
3,utero,0.554444,0.554444,1
3,cuello,0.471812,0.471812,2
3,piel,-0.231638,0.231638,3
3,prostata,-0.217661,0.217661,4
3,pulmon,0.215846,0.215846,5
3,virus,0.195073,0.195073,6
3,virus_papiloma,0.180488,0.180488,7
3,sexual,0.180488,0.180488,8
3,vph,0.162068,0.162068,9
3,cuello_uterino,0.137838,0.137838,10
3,infeccion,0.119764,0.119764,11
3,pancreas,0.107277,0.107277,12
3,sol,-0.096064,0.096064,13
3,papanicolaou,0.093829,0.093829,14
3,relacion,0.089378,0.089378,15
3,microcitico,0.080031,0.080031,16
3,higado,0.075734,0.075734,17
3,masa,0.070954,0.070954,18
3,sangrado,0.069965,0.069965,19
3,sangrado_vaginal,0.068239,0.068239,20
