document_id,term,frequency
1,abdominal,1
1,abeloff,1
1,ablacion,1
1,acabar,1
1,acceso,1
1,accessed,1
1,acerca,2
1,acth,1
1,actua,1
1,actualizacion,1
1,acudir,1
1,acumulacion,1
1,acumule,1
1,adh,1
1,adormecimiento,1
1,adrenocorticotropico,1
1,afeccion,2
1,afectar,5
1,agua,1
1,ahora,1
1,alguno,1
1,aliento,1
1,almacenar,1
1,alrededor,1
1,alto,2
1,amarillentar,1
1,americar,3
1,ampliar,1
1,amplio,1
1,anticuerpo,1
1,antidiureticar,1
1,antidiuretico,1
1,aparecer,3
1,aparicion,1
1,apetito,2
1,apoyo,1
1,araujo,1
1,armitage,1
1,arterial,2
1,asi,4
1,asocian,1
1,atacar,3
1,ataque,1
1,aumentar,1
1,aumento,1
1,aun,2
1,aunque,2
1,autor,1
1,ayudeno,1
1,azucar,1
1,azulado,1
1,bajo,1
1,bien,1
1,brazo,4
1,brindar,1
1,bronquitis,1
1,cabeza,3
1,cadera,1
1,caido,1
1,calambre,1
1,calcio,2
1,cambio,5
1,caminar,1
1,campo,1
1,canceroso,3
1,cansancio,2
1,cara,3
1,carbonir,1
1,cardiaco,1
1,caso,2
1,causa,9
1,causado,2
1,causar,12
1,causas,1
1,cava,4
1,cell,6
1,celula,21
1,centro,1
1,cerca,1
1,cerebelo,1
1,cerebelos,1
1,cerebro,5
1,certificacion,1
1,chapter,2
1,chiang,1
1,cierto,1
1,cirugio,2
1,clave,1
1,clavicular,1
1,clinical,1
1,color,2
1,coloracion,1
1,comienzo,2
1,comportamiento,1
1,compuesto,1
1,comun,3
1,comunicar,1
1,conciencio,1
1,confianza,1
1,confusion,2
1,conocer,1
1,conocimiento,1
1,consulte,1
1,continuar,1
1,controlar,1
1,convulsion,3
1,corazon,1
1,cortisol,1
1,cosa,1
1,creer,1
1,criticar,1
1,cualquiera,3
1,cuello,2
1,cuerpo,2
1,cuestionario,1
1,cuidado,1
1,cushing,4
1,dane,1
1,dar,2
1,data,1
1,debido,2
1,debil,1
1,debilidad,7
1,decker,1
1,degeneracion,1
1,demasiado,1
1,denominar,1
1,dentro,1
1,derecho,2
1,desaparecer,2
1,descargar,1
1,descubrir,1
1,despu,2
1,despues,1
1,deteccion,2
1,determinacion,2
1,determinar,2
1,detterbeck,1
1,devito,4
1,diabet,1
1,diagnosticar,1
1,diagnostico,2
1,dificultad,4
1,dirigido,1
1,disenado,1
1,distante,2
1,distinto,3
1,dolor,7
1,donant,1
1,donar,1
1,donir,2
1,doroshow,1
1,eaton,1
1,ectopico,1
1,editor,1
1,editorial,1
1,eds,3
1,efectivo,1
1,ejemplo,2
1,elsevier,1
1,emocion,1
1,empeora,2
1,encargado,1
1,encefaliti,1
1,encima,1
1,endocrino,3
1,enfermedad,3
1,enfermerio,1
1,entrar,1
1,equilibrio,2
1,equipo,2
1,error,2
1,escrito,1
1,espalda,1
1,especifico,1
1,espinal,1
1,esputo,1
1,estadistica,1
1,estrenimiento,1
1,etapa,6
1,etapas,2
1,existir,1
1,experiencia,1
1,extender,1
1,facil,1
1,factor,3
1,falta,1
1,familia,1
1,fatigar,1
1,febrero,1
1,flema,1
1,frecuencia,3
1,ganglio,2
1,generoso,1
1,glandula,1
1,gracias,1
1,gradualmente,1
1,grande,1
1,grave,1
1,grupo,3
1,hablar,2
1,hacer,5
1,hann,1
1,health,1
1,hellmar,2
1,hematoma,1
1,higado,1
1,hinchazon,2
1,hipercalcemia,2
1,hipertension,1
1,hombro,2
1,hormona,6
1,hormonar,2
1,horn,1
1,horner,2
1,https,1
1,hueso,2
1,humor,1
1,ictericio,1
1,importante,2
1,inadecuado,1
1,incluido,1
1,incluir,1
1,incluso,1
1,indiz,1
1,inestabilidad,1
1,inexplicable,1
1,infeccion,1
1,informe,2
1,ingl,3
1,inmediato,3
1,inmunitario,5
1,inmunoterapia,1
1,inmunoterapio,1
1,institutir,1
1,intenso,1
1,investigacion,1
1,jan,1
1,kastan,1
1,labor,1
1,lado,2
1,lambert,1
1,lawrence,2
1,levantarel,1
1,limbico,3
1,linfatico,2
1,lippincott,2
1,liquido,1
1,llamado,3
1,llamar,2
1,llevar,2
1,luego,1
1,lugar,3
1,lung,8
1,mareo,3
1,mayor,2
1,mayoria,1
1,mayorio,1
1,medicamento,1
1,medico,9
1,medular,1
1,mejorar,1
1,memoria,2
1,menudo,1
1,merritt,1
1,microcitico,25
1,mismo,2
1,moreton,1
1,mortal,1
1,mostrar,1
1,movimiento,1
1,muscular,2
1,musculo,2
1,national,1
1,nausea,2
1,navigation,1
1,necesario,2
1,necesidad,1
1,nervio,3
1,nerviosismo,1
1,nervioso,3
1,neumonia,1
1,neuroendocrine,1
1,neurologico,2
1,neuromuscular,1
1,niederhuber,1
1,ninguno,1
1,nivel,4
1,nodulo,1
1,non,2
1,notar,1
1,novedad,1
1,nsclc,1
1,ocultar,1
1,ojo,3
1,oncologiar,1
1,oncology,3
1,opcion,2
1,organo,3
1,orinar,1
1,oscuro,1
1,oxido,1
1,paliativo,2
1,pancoast,3
1,paraneoplasico,10
1,paratiroidea,1
1,parecido,1
1,parpado,1
1,parte,9
1,pasar,1
1,pdf,1
1,pdq,2
1,pecho,3
1,peligro,1
1,peptido,1
1,pequena,17
1,pequenar,1
1,perdido,5
1,persona,3
1,personal,1
1,personalidad,1
1,peso,2
1,philadelphia,3
1,physician,1
1,piel,2
1,pierna,1
1,piernar,1
1,poder,37
1,podrio,1
1,politico,1
1,poner,1
1,posible,2
1,potencialmente,1
1,practicar,2
1,pregunta,1
1,presion,2
1,prevencion,2
1,prevenir,1
1,primero,4
1,principl,2
1,probabilidad,2
1,probable,2
1,problema,7
1,procedimiento,2
1,producir,5
1,professional,1
1,profundo,1
1,propagacion,1
1,propagado,4
1,propagar,1
1,protegido,1
1,provocar,4
1,prueba,1
1,pthrp,1
1,pulmon,67
1,pulmonar,2
1,pupila,1
1,query,1
1,quimioterapio,2
1,radiofrecuencia,1
1,radioterapia,1
1,radioterapio,1
1,razon,1
1,recibir,1
1,reciente,1
1,recurso,1
1,referencia,1
1,reimpresion,1
1,rekhtmar,1
1,relacionado,1
1,requerir,1
1,respiracion,1
1,respirar,2
1,retencion,1
1,retener,1
1,rfa,1
1,riesgo,3
1,rinon,2
1,risa,1
1,rojo,1
1,ronquera,1
1,rosenberg,2
1,rosenbergs,2
1,rostro,1
1,rudin,1
1,sal,1
1,salivo,1
1,saltar,1
1,sangre,8
1,sanguineo,1
1,sclc,2
1,secrecion,1
1,sed,1
1,seguir,1
1,segun,2
1,segundo,1
1,sentado,1
1,ser,5
1,shilo,1
1,siadh,3
1,sibilancia,1
1,sigla,2
1,signo,6
1,siguiente,3
1,sindrom,8
1,sindromar,4
1,sindrome,11
1,sintoma,22
1,sistema,11
1,small,6
1,sobreviviente,1
1,society,3
1,solicitud,1
1,somnolencio,1
1,sospeche,1
1,stewart,1
1,sueno,1
1,superior,8
1,supervivencio,1
1,suprarrenal,1
1,sustancia,1
1,svc,1
1,tal,2
1,tambien,5
1,tanoue,1
1,tasa,1
1,tejido,1
1,temprano,4
1,tener,1
1,tepper,1
1,terapia,1
1,terapiar,1
1,tiempo,1
1,tipo,4
1,torrente,1
1,tos,3
1,traductor,1
1,tragar,2
1,transpiracion,1
1,tratamiento,12
1,tratarel,2
1,treatment,2
1,ttf,1
1,tumor,12
1,tumors,1
1,types,1
1,union,1
1,uso,1
1,usted,1
1,vea,2
1,vena,6
1,venas,1
1,version,1
1,vez,4
1,vida,2
1,video,1
1,vido,1
1,visto,1
1,volver,1
1,volverel,1
1,vomito,2
1,welliver,1
1,wilkins,2
1,williams,2
1,www,1
1,zona,2
2,acuerdo,1
2,adema,1
2,afeccion,1
2,americano,1
2,aparecer,1
2,ardor,1
2,aunque,1
2,autoexploracion,1
2,axila,1
2,blandos,1
2,borde,1
2,bulto,8
2,cambio,4
2,canceroso,2
2,caso,2
2,causar,1
2,cercano,1
2,claro,1
2,comun,2
2,consultar,1
2,contar,1
2,crecer,1
2,cualquiera,1
2,cubrir,1
2,cutanea,1
2,dej,1
2,demasiado,1
2,denominado,1
2,descamacion,1
2,deteccion,1
2,dolor,9
2,duro,1
2,empeorar,1
2,enfermedad,1
2,engrosamiento,1
2,enrojecimiento,2
2,estadio,1
2,evidente,1
2,explicacion,1
2,formacion,2
2,formar,1
2,frecuencia,1
2,frecuente,1
2,grave,1
2,hoyo,1
2,hoyuelo,1
2,indicio,3
2,indoloro,1
2,infeccion,1
2,inflamacion,2
2,inflamatorio,1
2,inusual,2
2,inversion,1
2,irregular,1
2,irritacion,2
2,leche,1
2,mama,17
2,mamas,2
2,masa,3
2,medico,2
2,menos,1
2,mensaje,19
2,ningun,1
2,ninguno,1
2,paget,1
2,palpar,1
2,parte,1
2,patrocinador,19
2,pequeno,1
2,percibas,1
2,pezon,6
2,piel,3
2,poder,9
2,posible,1
2,presionar,1
2,primero,3
2,probabilidad,1
2,producir,1
2,provocar,1
2,pueda,1
2,quiste,1
2,quizar,1
2,rapidamente,1
2,reciente,1
2,redondeado,1
2,sano,1
2,secrecion,1
2,seno,1
2,sensibilidad,1
2,sentirel,1
2,ser,5
2,siguiente,1
2,sintoma,7
2,sintomas,1
2,sociedad,1
2,soler,1
2,suave,1
2,tambien,1
2,tejido,1
2,temprano,1
2,tender,1
2,tipo,1
2,tumor,1
2,variar,1
2,vez,2
2,zona,1
3,abdomen,1
3,abdominal,1
3,acerca,1
3,actividad,2
3,adenomatos,1
3,adn,3
3,adulto,1
3,advertisement,1
3,afeccion,2
3,afectar,1
3,agrandar,1
3,alcohol,4
3,alimentacion,3
3,alimento,1
3,alrededor,1
3,alto,3
3,analizar,1
3,ano,3
3,antecedente,3
3,anterior,1
3,antioxidant,1
3,aparecer,1
3,aquel,1
3,areo,1
3,arrojado,1
3,aspirina,1
3,aspirinar,2
3,atencion,6
3,aumentar,13
3,aun,1
3,aunque,1
3,avanzado,1
3,aviso,3
3,ayudar,5
3,bajo,2
3,beber,2
3,bebes,1
3,bebida,1
3,bebido,1
3,benigno,1
3,boletin,1
3,book,1
3,calambre,1
3,caloria,2
3,camara,1
3,cambio,7
3,cansancio,1
3,cantidad,2
3,care,1
3,carne,2
3,caso,1
3,causa,2
3,causar,2
3,celuel,1
3,celula,10
3,cereal,1
3,cerrar,1
3,ciclo,1
3,cirugia,1
3,cita,1
3,claro,1
3,clinic,11
3,coliti,1
3,colon,63
3,colonoscopia,1
3,colorrectal,2
3,comar,2
3,combin,1
3,combinar,1
3,comenzar,5
3,comer,1
3,comercial,2
3,compania,1
3,consanguineo,1
3,considerar,2
3,consulta,1
3,consultar,1
3,consumir,1
3,contener,1
3,continuo,1
3,controlarel,1
3,convertirel,1
3,correr,2
3,crohn,1
3,cualquiera,3
3,cuanto,1
3,cuerpo,3
3,deber,2
3,debido,1
3,debilidad,1
3,decidir,1
3,defecacion,1
3,dejar,1
3,dejarel,1
3,demasiado,1
3,denomina,1
3,dependar,1
3,desarrollo,1
3,descomponer,1
3,desigual,1
3,despacio,1
3,desprenderel,1
3,destruir,1
3,deteccion,5
3,detectar,1
3,determinar,1
3,dia,4
3,diabet,1
3,diabetes,1
3,diar,2
3,diario,2
3,diarrear,1
3,dietar,1
3,diferente,1
3,digestivir,1
3,digestivo,3
3,digital,1
3,dirigido,2
3,disemin,1
3,diseminarel,1
3,dolor,2
3,dos,1
3,dosis,1
3,edad,3
3,edicion,2
3,ejemplo,1
3,ejercicio,5
3,elegir,1
3,elevado,2
3,embargo,3
3,empezar,2
3,encontrar,1
3,encontrarlo,1
3,enfermedad,4
3,equipo,4
3,estilo,1
3,estrenimiento,1
3,estudio,1
3,exactamente,1
3,examen,6
3,examinar,1
3,exceso,1
3,existir,2
3,extirparlo,1
3,factor,3
3,familia,2
3,familiar,4
3,family,1
3,fibra,3
3,financiar,1
3,fines,1
3,fisico,2
3,flexible,1
3,formar,3
3,frecuencio,1
3,frecuente,2
3,fruta,3
3,fumar,3
3,future,1
3,futuro,1
3,gas,1
3,general,4
3,gran,1
3,grasa,2
3,grueso,4
3,grupo,1
3,haber,1
3,habito,1
3,hablar,3
3,hacer,5
3,haz,2
3,hazlo,1
3,health,3
3,hereditario,2
3,hereditary,1
3,hez,1
3,hiciste,1
3,hinchazon,1
3,hombre,1
3,imagen,1
3,inactivo,1
3,incluir,1
3,indicar,2
3,inflamatoria,2
3,informativo,1
3,ingles,1
3,inmunoterapio,1
3,instruccion,1
3,insulin,1
3,integral,2
3,interior,1
3,intestinal,3
3,intestino,6
3,invadir,1
3,investigacion,1
3,involuntario,1
3,largo,2
3,letter,1
3,libro,4
3,llamado,4
3,llamar,2
3,llegar,1
3,lograr,1
3,lucrir,1
3,lynch,1
3,manera,1
3,mantenerel,1
3,mantir,1
3,masa,1
3,mayo,11
3,mayor,8
3,mayoriar,1
3,mayorio,3
3,mediante,1
3,medica,3
3,medicamento,5
3,medico,6
3,mencionar,1
3,menor,2
3,menos,2
3,metastasico,1
3,miembro,1
3,mineral,1
3,minuto,2
3,mision,1
3,moderacion,1
3,molestia,1
3,morir,2
3,mostrar,1
3,moviendote,1
3,mujer,1
3,multiplicar,1
3,natural,1
3,necesitario,1
3,necesitas,1
3,negro,2
3,nota,1
3,nutrient,1
3,obesidad,3
3,objetivo,1
3,obtener,1
3,occidental,1
3,ocurrir,2
3,opcion,4
3,oportunidad,1
3,organo,1
3,ostomia,1
3,padecer,1
3,pariente,1
3,parte,6
3,patrocinio,1
3,pequeno,1
3,perder,2
3,perdido,1
3,permitir,1
3,persistente,1
3,persona,15
3,personal,1
3,peso,5
3,piel,2
3,poder,17
3,podrio,1
3,polipo,9
3,poliposis,1
3,politico,1
3,posibilidad,1
3,preguntar,1
3,preocupar,1
3,presentar,1
3,prevencion,2
3,prevenir,2
3,preventivo,1
3,primero,1
3,principio,1
3,probable,1
3,procesado,1
3,producir,1
3,producirel,1
3,producto,4
3,profesional,2
3,programa,2
3,progresivamente,1
3,proliferacion,1
3,promedio,2
3,propenso,1
3,provocar,2
3,prueba,3
3,quimioterapia,1
3,radioterapia,2
3,radioterapiar,1
3,rapidamente,1
3,razas,1
3,razon,1
3,recaudacion,1
3,recomendar,3
3,rectal,1
3,recto,3
3,reducir,7
3,regular,2
3,regularidad,1
3,relacionar,1
3,reservar,1
3,resistencia,1
3,respaldar,1
3,resultado,1
3,riesgo,33
3,rojo,1
3,saber,3
3,salud,6
3,saludable,4
3,sangrado,2
3,sangre,1
3,sano,2
3,seguir,1
3,seguro,1
3,semana,1
3,sensacion,1
3,ser,3
3,siguiente,3
3,similar,1
3,sindrom,2
3,sindrome,1
3,sintoma,7
3,sistema,4
3,soler,3
3,solicite,1
3,sonda,1
3,suficiente,1
3,sufrir,1
3,suministros,1
3,tamano,1
3,tambien,2
3,tejido,1
3,tener,7
3,terapiar,1
3,termino,1
3,tiempo,4
3,tienda,1
3,tiendo,1
3,tipico,1
3,tipo,4
3,tomar,1
3,trabajar,1
3,tratamiento,1
3,tratar,2
3,tumor,1
3,ubicacion,1
3,ulcera,1
3,ulceros,1
3,ultimo,1
3,usar,2
3,uso,1
3,vacia,1
3,variado,1
3,variedad,3
3,verdura,3
3,version,2
3,vez,1
3,vida,2
3,vincularel,1
3,vitamina,2
3,vivir,2
3,zona,1
4,adn,6
4,adulto,1
4,advertenciar,1
4,advertisement,1
4,afeccion,1
4,agrandar,5
4,aire,2
4,ajustado,1
4,ala,1
4,alla,1
4,alrededor,2
4,alto,3
4,amplio,1
4,ampolla,1
4,ancho,1
4,ano,1
4,antecedente,4
4,anteojo,1
4,aparecer,3
4,apariencia,1
4,aplicar,1
4,aplicarel,1
4,arabe,1
4,atencion,4
4,aumentar,6
4,aumento,1
4,aun,1
4,aunque,1
4,aviso,3
4,ayudar,1
4,basal,7
4,basocelular,8
4,bien,1
4,blanco,4
4,boletin,1
4,book,1
4,borde,2
4,brazo,3
4,brillante,1
4,bronceadora,7
4,buen,1
4,bulto,3
4,cabelludo,2
4,cada,1
4,cama,7
4,cambiar,1
4,cambio,10
4,canceroso,5
4,cantidad,1
4,capa,1
4,cara,2
4,carcinoma,19
4,carcinomar,1
4,caso,1
4,causa,7
4,causar,1
4,celuel,7
4,celula,28
4,cerrar,5
4,cierto,1
4,cita,1
4,claro,2
4,clinic,7
4,color,5
4,colores,1
4,combate,1
4,comenzar,4
4,comercial,2
4,compania,1
4,comun,2
4,conocer,1
4,consanguineo,1
4,consulta,1
4,consultar,1
4,contener,2
4,contraer,1
4,controlar,1
4,costra,1
4,creer,1
4,cremo,1
4,cualquiera,2
4,cubr,1
4,cubra,1
4,cubrirel,1
4,cuello,1
4,cuero,2
4,cuerpo,7
4,cura,1
4,curacion,1
4,cutanea,2
4,debajo,1
4,deber,4
4,debilitado,4
4,debilitar,1
4,delantera,1
4,denominado,1
4,derivar,1
4,desarrollar,2
4,desarrollo,3
4,descripcion,1
4,desprenderel,2
4,despues,1
4,destruir,2
4,detectar,1
4,determinado,1
4,dia,1
4,diferente,1
4,dificultar,1
4,digital,1
4,diir,1
4,disemin,1
4,diseminarel,2
4,diseminir,1
4,dolor,1
4,dorso,1
4,dos,2
4,edad,1
4,edicion,2
4,ejemplo,1
4,embargo,1
4,emitir,2
4,empujar,1
4,encontrar,1
4,enfermedad,1
4,eon,1
4,epidermis,1
4,epidermoidar,2
4,equipo,1
4,escamosa,7
4,escuchar,1
4,espalda,1
4,espectro,1
4,espejo,1
4,exceso,1
4,existir,1
4,exposicion,1
4,expuesto,3
4,externo,1
4,facilidad,2
4,factor,4
4,familiar,3
4,family,1
4,fijate,1
4,fin,2
4,financiar,1
4,fines,1
4,formar,2
4,frecuencia,1
4,fuerte,1
4,general,1
4,generalmente,2
4,genital,1
4,germen,1
4,haber,2
4,hacer,3
4,hacia,2
4,health,2
4,hermano,1
4,hora,2
4,imagen,5
4,incluir,3
4,independientemente,1
4,indicar,2
4,infancio,1
4,infeccion,1
4,inferior,2
4,informar,3
4,informativo,1
4,ingles,1
4,inmunitario,6
4,instruccion,3
4,interior,1
4,invadir,2
4,invasivo,1
4,irregular,1
4,labio,2
4,lampara,1
4,lejos,1
4,letter,1
4,libre,2
4,libro,1
4,llagas,1
4,llamado,2
4,llamar,1
4,llegar,1
4,lucrir,1
4,lugar,1
4,lunar,4
4,luz,15
4,madre,1
4,mano,4
4,mantente,1
4,marca,1
4,marron,1
4,mayo,7
4,mayor,3
4,mayoria,1
4,mayorio,4
4,medica,2
4,medicamento,2
4,medico,4
4,medido,1
4,mediodia,1
4,melanocito,1
4,melanoma,2
4,melanomar,1
4,melanomo,7
4,menos,1
4,menudo,2
4,metastasico,1
4,mirar,1
4,mirate,1
4,mision,1
4,modificar,1
4,momento,2
4,moren,5
4,morir,1
4,mostrar,1
4,mover,1
4,muestro,1
4,multiplicar,1
4,multipliquen,1
4,nacimiento,1
4,nadar,1
4,negro,3
4,nocivo,1
4,normalmente,1
4,norteamericar,1
4,nublado,1
4,nuevo,3
4,observa,1
4,observate,1
4,obstante,1
4,ojo,1
4,olvid,1
4,opcion,1
4,oportunidad,1
4,oreja,4
4,organo,1
4,originar,1
4,oscuro,1
4,padre,1
4,palma,1
4,parecer,3
4,pariente,1
4,parte,7
4,patrocinio,1
4,peca,3
4,pecho,1
4,pedir,1
4,peligroso,1
4,pelirrojo,1
4,pelo,1
4,permanecer,1
4,persona,7
