term_id,name
1,abdomen
2,abdominal
3,abeloff
4,ablacion
5,abnormalidad
6,aborto
7,abreviacion
8,abrumador
9,absorber
10,absorcion
11,abuelo
12,abundante
13,acabar
14,acceso
15,accessed
16,accidental
17,acerca
18,acidez
19,acido
20,acth
21,activador
22,activamente
23,actividad
24,actua
25,actual
26,actualizacion
27,actuan
28,acudar
29,acudir
30,acuerdo
31,acumula
32,acumulacion
33,acumular
34,acumule
35,acuoso
36,adecuado
37,adema
38,adeno
39,adenocarcinoma
40,adenoid
41,adenomatos
42,adenovirus
43,adh
44,adhesion
45,adicional
46,adn
47,adormecimiento
48,adquirir
49,adrenocorticotropico
50,adulto
51,advertenciar
52,advertisement
53,afeccion
54,afectado
55,afectar
56,aflatoxina
57,aflotoxina
58,afortunadamente
59,africano
60,africo
61,afroamericayo
62,afuero
63,aging
64,agrandado
65,agrandamientir
66,agrandamiento
67,agrandar
68,agrandarel
69,agrande
70,agregar
71,agresivo
72,agrura
73,agua
74,agudo
75,aguja
76,ahora
77,aire
78,ajustado
79,ajusten
80,ala
81,alcohol
82,alentar
83,alertar
84,algun
85,alguno
86,aliento
87,alimentacion
88,alimentartir
89,alimentate
90,alimenticio
91,alimento
92,alla
93,allo
94,almacenado
95,almacenamiento
96,almacenar
97,alrededor
98,alteracion
99,altero
100,alto
101,amarillentar
102,amarillento
103,amarillo
104,ambos
105,american
106,americano
107,americar
108,americo
109,amigdael
110,amigo
111,aminoacido
112,ampliamente
113,ampliar
114,amplio
115,ampolla
116,ampular
117,analisis
118,analizar
119,analizarla
120,anatomia
121,anatomio
122,ancho
123,androgeno
124,anemiar
125,angosto
126,animacion
127,animal
128,animo
129,ano
130,anomala
131,anomalia
132,anomalo
133,anorexia
134,anormal
135,anormalidad
136,ansiedad
137,antecedente
138,anteojo
139,anterior
140,anticuerpo
141,antidiureticar
142,antidiuretico
143,antigeno
144,antioxidant
145,aparato
146,aparecer
147,aparicion
148,apariencia
149,apetito
150,aplicar
151,aplicarel
152,apoptosis
153,apoyo
154,aprenda
155,aquel
156,aqui
157,arabe
158,araujo
159,ardor
160,area
161,areo
162,armitage
163,arn
164,arrojado
165,arterial
166,asar
167,aseguratar
168,asi
169,asia
170,asiatica
171,asiatico
172,asigna
173,asintomatico
174,asociacion
175,asociado
176,asocian
177,asociarel
178,aspergillus
179,aspirina
180,aspirinar
181,atacar
182,atacarla
183,ataque
184,atencion
185,aumentar
186,aumento
187,aun
188,aunque
189,australiir
190,autoexploracion
191,autor
192,avance
193,avanza
194,avanzado
195,avanzar
196,aviso
197,axila
198,ayuda
199,ayudaestomago
200,ayudar
201,ayudarte
202,ayudeno
203,ayudo
204,azucar
205,azulado
206,bajar
207,bajo
208,barcelona
209,barr
210,basado
211,basal
212,basico
213,basocelular
214,bastante
215,bazo
216,bclc
217,beber
218,bebes
219,bebida
220,bebido
221,beneficioso
222,benigno
223,beyond
224,bien
225,bienestar
226,bili
227,biliar
228,bilirrubin
