title,term_name,frequency
"C ncer de pulm¢n",pulmon,69
"C ncer de pulm¢n",poder,37
"C ncer de pulm¢n",microcitico,25
"C ncer de pulm¢n",sintoma,22
"C ncer de pulm¢n",celula,21
"C ncer de pulm¢n",pequena,17
"C ncer de pulm¢n",masa,13
"C ncer de pulm¢n",causar,12
"C ncer de pulm¢n",tratamiento,12
"C ncer de pulm¢n",sistema,11
"C ncer de pulm¢n",sindrome,11
"C ncer de pulm¢n",causa,10
"C ncer de pulm¢n",paraneoplasico,10
"C ncer de pulm¢n",parte,9
"C ncer de pulm¢n",medico,9
"C ncer de pulm¢n",cansancio,9
"C ncer de pulm¢n",etapa,8
"C ncer de pulm¢n",lung,8
"C ncer de pulm¢n",sindrom,8
"C ncer de pulm¢n",sangrado,8
